id,authors,year,title,venue
0,"Gottfried Vossen, Mathias Weske",1999,The WASA2 object-oriented workflow management system,International Conference on Management of Data
1,"Isabel F. Cruz, Kimberly M. James",1999,A user-centered interface for querying distributed multimedia databases,International Conference on Management of Data
2,"Athman Bouguettaya, Boualem Benatallah, Lily Hendra, James Beard, Kevin Smith, Mourad Quzzani",1999,"World Wide Database-integrating the Web, CORBA and databases",International Conference on Management of Data
3,"Chaitan Baru, Amarnath Gupta, Bertram Lud&#228;scher, Richard Marciano, Yannis Papakonstantinou, Pavel Velikhov, Vincent Chu",1999,XML-based information mediation with MIX,International Conference on Management of Data
4,"Alexander Brodsky, Victor E. Segal, Jia Chen, Paval A. Exarkhopoulo",1999,The CCUBE constraint object-oriented database system,International Conference on Management of Data
5,"Phillippe Bonnet, Kyle Buza, Zhiyuan Chan, Victor Cheng, Randolph Chung, Takako Hickey, Ryan Kennedy, Daniel Mahashin, Tobias Mayr, Ivan Oprencak, Praveen Seshadri, Hubert Siu",1999,The Cornell Jaguar project: adding mobility to PREDATOR,International Conference on Management of Data
6,"Nick Roussopoulos, Yannis Kotidis, Yannis Sismanis",1999,The active MultiSync controller of the cubetree storage organization,International Conference on Management of Data
7,"Michael B&#246;hlen, Linas Bukauskas, Curtis Dyreson",1999,The Jungle database search engine,International Conference on Management of Data
8,"N. R. Jennings, T. J. Norman, P. Faratin",1998,ADEPT: an agent-based approach to business process management,ACM SIGMOD Record
9,"Benny Reich, Israel Ben-Shaul",1998,A componentized architecture for dynamic electronic markets,ACM SIGMOD Record
10,"Susanne Boll, Wolfgang Klas, Bernard Battaglin",1998,Design and implementation of RMP: a virtual electronic market place,ACM SIGMOD Record
11,"Alex G. B&#252;chner, Maurice D. Mulvenna",1998,Discovering Internet marketing intelligence through online analytical web usage mining,ACM SIGMOD Record
12,"Martin Bichler, Arie Segev, J. Leon Zhao",1998,Component-based e-commerce: assessment of current practices and future directions,ACM SIGMOD Record
13,Sherif Danish,1998,Building database-driven electronic catalogs,ACM SIGMOD Record
14,"Bart Meltzer, Robert Glushko",1998,XML and electronic commerce: enabling the network economy,ACM SIGMOD Record
15,"Asuman Dogac, Ilker Durusoy, Sena Arpinar, Nesime Tatbul, Pinar Koksal, Ibrahim Cingil, Nazife Dimililer",1998,A workflow-based electronic marketplace on the Web,ACM SIGMOD Record
16,"Mehmet Altinel, Demet Aksoy, Thomas Baby, Michael Franklin, William Shapiro, Stan Zdonik",1999,DBIS-toolkit: adaptable middleware for large scale data delivery,International Conference on Management of Data
17,"Ling Liu, Wei Han, David Buttler, Calton Pu, Wei Tang",1999,An XJML-based wrapper generator for Web information extraction,International Conference on Management of Data
18,"Reinhard Braumandl, Alfons Kemper, Donald Kossmann",1999,Database patchwork on the Internet,International Conference on Management of Data
19,"Ouri Wolfson, Prasad Sistla, Bo Xu, Jutai Zhou, Sam Chamberlain",1999,DOMINO: databases fOr MovINg Objects tracking,International Conference on Management of Data
20,"Lyman Do, Prabhu Ram, Pamela Drew",1999,The need for distributed asynchronous transactions,International Conference on Management of Data
21,"Thomas Bergstraesser, Philip A. Bernstein, Shankar Pal, David Shutt",1999,Versions and workspaces in Microsoft repository,International Conference on Management of Data
22,"Stefano M. Trisolini, Maurizio Lenzerini, Daniele Nardi",1999,Data integration and warehousing in Telecom Italia,International Conference on Management of Data
23,"Matthias Jarke, Christoph Quix, Guido Blees, Dirk Lehmann, Gunter Michalk, Stefan Stierl",1999,Improving OLTP data quality using data warehouse mechanisms,International Conference on Management of Data
24,"E. A. Rundensteiner, K. Claypool, M. Li, L. Chen, Z. Zhang, C. Natarajan, J. Jin, S. De Lima, S. Weiner",1999,SERF: ODMG-based generic re-structuring facility,International Conference on Management of Data
