id,authors,year,title,venue
0,D. Scott Mackay,1999,Semantic Integration of Environmental Models for Application to Global Information Systems and Decision-Making,SIGMOD Record
1,"Viswanath Poosala, Yannis E. Ioannidis",1996,Estimation of Query-Result Distribution and its Application in Parallel-Join Load Balancing,VLDB
2,"Themistoklis Palpanas, Richard Sidle, Hamid Pirahesh, Roberta Cochrane",2002,Incremental Maintenance for Non-Distributive Aggregate Functions,VLDB
3,"Zhao-Hui Tang, Georges Gardarin, Jean-Robert Gruser",1996,Cost-based Selection of Path Expression Processing Algorithms in Object-Oriented Databases,VLDB
4,"Erik G. Hoel, Hanan Samet",1995,Benchmarking Spatial Join Operations with Spatial Output,VLDB
5,Daniel A. Keim,1999,Efficient Geometry-based Similarity Search of 3D Spatial Databases,SIGMOD Conference
6,Aris M. Ouksel,2002,Mining the World Wide Web: An Information Search Approach - Book Review,SIGMOD Record
7,Praveen Seshadri,1998,Enhanced Abstract Data Types in Object-Relational Databases,VLDB J.
8,"Nandit Soparkar, Krithi Ramamritham",1997,Report on DART '96: Databases: Active and Real-Time (Concepts meet Practice),SIGMOD Record
9,"Phil Janus, Albert D'Andrea",1996,UniSQL's Next-Generation Object-Relational Database Management System,SIGMOD Record
10,"Alfons Kemper, Donald Kossmann",1994,Dual-Buffering Strategies in Object Bases,VLDB
11,"Nesime Tatbul, Daniel J. Abadi, C. Erwin, Anurag Maskey, Mitch Cherniack, Alex Rasin, Christian Convey, A. Singer, Eduardo F. Galvez, R. Yan, Ugur �etintemel, Ying Xing, Stanley B. Zdonik, Michael Stonebraker, Donald Carney, M. Hatoun",2003,Aurora: A Data Stream Management System,SIGMOD Conference
12,"Rajendran M. Sivasankaran, Bhaskar Purimetla, John A. Stankovic, Krithi Ramamritham, Donald F. Towsley",1996,Priority Assignment in Real-Time Active Databases,VLDB J.
13,"Surojit Chatterjee, Gholamhosein Sheikholeslami, Aidong Zhang",2000,WaveCluster: A Wavelet Based Clustering Approach for Spatial Data in Very Large Databases,VLDB J.
14,"Hector Garcia-Molina, Kevin Chen-Chuan Chang",2001,Approximate query mapping: Accounting for translation closeness,VLDB J.
15,"John C. Shafer, Rakesh Agrawal, Manish Mehta",1996,SPRINT: A Scalable Parallel Classifier for Data Mining,VLDB
16,"Jeff Pavel, Luis Gravano, Aleksandr Voskoboynik, Eugene Agichtein, Viktoriya Sokolova",2001,Snowball: A Prototype System for Extracting Relations from Large Text Collections,SIGMOD Conference
17,"Timothy Griffin, Richard Hull",1997,A Framework for Implementing Hypothetical Queries,SIGMOD Conference
18,"Raymond T. Ng, Timos K. Sellis, Yannis E. Ioannidis, Kyuseok Shim",1997,Parametric Query Optimization,VLDB J.
19,"Yingwei Cui, Jennifer Widom",2001,Lineage Tracing for General Data Warehouse Transformations,VLDB
20,Joachim Hammer,2002,Report on the ACM Fourth International Workshop on Data Warehousing and OLAP (DOLAP 2001),SIGMOD Record
21,"Jittat Fakcharoenphol, Steve Chien, Ziv Bar-Yossef, Alexander Berg, Dror Weitz",2000,Approximating Aggregate Queries about Web Pages via Random Walks,VLDB
22,"Dan Suciu, Daniela Florescu, Alon Y. Levy, Mary F. Fernandez",1997,A Query Language for a Web-Site Management System,SIGMOD Record
23,"Elena Ferrari, Pierangela Samarati, Claudio Bettini, Elisa Bertino",1996,Supporting Periodic Authorizations and Temporal Reasoning in Database Access Control,VLDB
24,"Bin Li, Dennis Shasha",1998,Free Parallel Data Mining,SIGMOD Conference
25,"Brian T. Tran, Jyh-Herng Chow, Michelle Jou, Jean Grandbois, Yun Wang, You-Chin Fuh, Weidong Chen, Nelson Mendon�a Mattos",1999,High Level Indexing of User-Defined Types,VLDB
26,Philip A. Bernstein,1994,PC Database Systems - Present and Future,VLDB
27,"Jeffrey F. Naughton, Qiong Luo",2001,Form-Based Proxy Caching for Database-Backed Web Sites,VLDB
28,"Tova Milo, Serge Abiteboul, Sophie Cluet",1998,A Logical View of Structured Files,VLDB J.
29,"Evaggelia Pitoura, Serge Abiteboul, Michalis Vazirgiannis, Dieter Pfoser, George Samaras",2003,DBGlobe: a service-oriented P2P system for global computing,SIGMOD Record
30,"Reinhard Braumandl, Alfons Kemper, Donald Kossmann",1999,Database Patchwork on the Internet,SIGMOD Conference
31,"Yannis E. Ioannidis, Maria Zemankova",1994,Scientific Databases - State of the Art and Future Directions,VLDB
32,"Bernhard Seeger, Peter Widmayer, Jochen Van den Bercken",1997,A Generic Approach to Bulk Loading Multidimensional Index Structures,VLDB
33,"J�rg Sander, Jianjun Zhou",2003,Data Bubbles for Non-Vector Data: Speeding-up Hierarchical Clustering in Arbitrary Metric Spaces,VLDB
34,"Hector Garcia-Molina, Wilburt Labio",1996,Efficient Snapshot Differential Algorithms for Data Warehousing,VLDB
35,"Roberta Cochrane, Hamid Pirahesh, Nelson Mendon�a Mattos",1996,Integrating Triggers and Declarative Constraints in SQL Database Sytems,VLDB
36,"Yannis Papakonstantinou, Luis Gravano, Vagelis Hristidis",2003,Efficient IR-Style Keyword Search over Relational Databases,VLDB
37,"Simonas Saltenis, Christian S. Jensen",2002,Indexing of now-relative spatio-bitemporal data,VLDB J.
38,Curtis E. Dyreson,2003,"Temporal Coalescing with Now, Granularity, and Incomplete Information",SIGMOD Conference
39,"Sharma Chakravarthy, Y. Alp Aslandogan, Ramez Elmasri, Leonidas Fegaras, Jung-Hwan Oh",2003,Database Research at UT Arlington,SIGMOD Record
40,"Kevin Strehlo, Ralph Kimball",1995,Why Decision Support Fails and How To Fix It,SIGMOD Record
41,"Alexandros Biliris, Banu �zden, Abraham Silberschatz, Rajeev Rastogi",1994,A Low-Cost Storage Server for Movie on Demand Databases,VLDB
42,"Theo H�rder, Norbert Ritter, Udo Nink",1999,Generating Call-Level Interfaces for Advanced Database Application Programming,VLDB
43,"Haixun Wang, Wei Wang, Philip S. Yu, Jiong Yang",2002,Clustering by pattern similarity in large data sets,SIGMOD Conference
